flow_id,scenario,algorithm,traffic_type,priority,source_zone,segment_id,segment_type,segment_zone,required_bandwidth_mbps,estimated_delay_ms,estimated_loss_percent,qos_satisfied
39,normal_load,baseline,video,5,computer_lab,eth_lab,ethernet,computer_lab,4.502,4.0,0.05,True
40,normal_load,baseline,file_download,2,student_area,wifi_ap_3,wifi,student_area,6.446,26.0,1.1,True
41,normal_load,baseline,lms,4,dormitory,wifi_ap_4,wifi,dormitory,0.752,28.0,1.3,True
42,normal_load,baseline,web,3,administration,eth_admin,ethernet,administration,1.323,5.0,0.05,True
43,normal_load,baseline,web,3,library,wifi_ap_2,wifi,library,1.506,22.0,0.9,True
44,normal_load,baseline,video,5,administration,eth_admin,ethernet,administration,3.597,5.0,0.05,True
45,normal_load,baseline,web,3,computer_lab,eth_lab,ethernet,computer_lab,1.274,4.0,0.05,True
46,normal_load,baseline,lms,4,library,wifi_ap_2,wifi,library,1.02,22.0,0.9,True
47,normal_load,baseline,file_download,2,computer_lab,eth_lab,ethernet,computer_lab,9.674,4.0,0.05,True
48,normal_load,baseline,web,3,dormitory,wifi_ap_4,wifi,dormitory,1.14,28.0,1.3,True
49,normal_load,baseline,background_update,1,student_area,wifi_ap_3,wifi,student_area,2.609,26.0,1.1,True
50,normal_load,baseline,lms,4,computer_lab,eth_lab,ethernet,computer_lab,1.223,4.0,0.05,True
51,normal_load,baseline,video,5,dormitory,wifi_ap_4,wifi,dormitory,4.632,28.0,1.3,True
52,normal_load,baseline,background_update,1,computer_lab,eth_lab,ethernet,computer_lab,3.399,4.0,0.05,True
53,normal_load,baseline,video,5,dormitory,wifi_ap_4,wifi,dormitory,4.894,28.0,1.3,True
54,normal_load,baseline,video,5,computer_lab,eth_lab,ethernet,computer_lab,4.745,4.0,0.05,True
55,normal_load,baseline,lms,4,library,wifi_ap_2,wifi,library,1.214,22.0,0.9,True
56,normal_load,baseline,file_download,2,administration,eth_admin,ethernet,administration,6.805,5.0,0.05,True
57,normal_load,baseline,lms,4,administration,eth_admin,ethernet,administration,1.075,5.0,0.05,True
58,normal_load,baseline,lms,4,computer_lab,eth_lab,ethernet,computer_lab,0.976,4.0,0.05,True
59,normal_load,baseline,lms,4,academic_building,eth_academic,ethernet,academic_building,0.919,5.0,0.05,True
60,normal_load,baseline,web,3,library,wifi_ap_2,wifi,library,1.566,22.0,0.9,True
61,normal_load,baseline,voice,5,administration,eth_admin,ethernet,administration,0.213,5.0,0.05,True
62,normal_load,baseline,lms,4,academic_building,eth_academic,ethernet,academic_building,1.18,5.0,0.05,True
63,normal_load,baseline,video,5,library,wifi_ap_2,wifi,library,3.557,22.0,0.9,True
64,normal_load,baseline,web,3,computer_lab,eth_lab,ethernet,computer_lab,1.224,4.0,0.05,True
65,normal_load,baseline,background_update,1,computer_lab,eth_lab,ethernet,computer_lab,3.114,4.0,0.05,True
66,normal_load,baseline,lms,4,dormitory,wifi_ap_4,wifi,dormitory,1.154,28.0,1.3,True
67,normal_load,baseline,video,5,academic_building,eth_academic,ethernet,academic_building,4.318,5.0,0.05,True
68,normal_load,baseline,lms,4,dormitory,wifi_ap_4,wifi,dormitory,0.984,28.0,1.3,True
69,normal_load,baseline,web,3,administration,eth_admin,ethernet,administration,1.615,5.0,0.05,True
70,normal_load,baseline,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.427,18.0,0.7,True
71,normal_load,baseline,lms,4,academic_building,wifi_ap_1,wifi,academic_building,0.874,18.0,0.7,True
72,normal_load,baseline,video,5,dormitory,wifi_ap_4,wifi,dormitory,3.28,28.0,1.3,True
73,normal_load,baseline,video,5,dormitory,wifi_ap_4,wifi,dormitory,3.5,28.0,1.3,True
74,normal_load,baseline,background_update,1,dormitory,wifi_ap_4,wifi,dormitory,3.462,28.0,1.3,True
75,normal_load,baseline,file_download,2,academic_building,wifi_ap_1,wifi,academic_building,6.202,18.0,0.7,True
76,normal_load,baseline,background_update,1,academic_building,eth_academic,ethernet,academic_building,3.703,5.0,0.05,True
77,normal_load,baseline,background_update,1,library,wifi_ap_2,wifi,library,2.499,22.0,0.9,True
78,normal_load,baseline,web,3,library,wifi_ap_2,wifi,library,1.773,22.0,0.9,True
79,normal_load,baseline,background_update,1,library,wifi_ap_2,wifi,library,2.818,22.0,0.9,True
80,normal_load,baseline,background_update,1,student_area,wifi_ap_3,wifi,student_area,3.64,26.0,1.1,True
1,normal_load,least_loaded,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.681,18.0,0.7,True
2,normal_load,least_loaded,lms,4,library,wifi_ap_2,wifi,library,1.118,22.0,0.9,True
3,normal_load,least_loaded,web,3,computer_lab,eth_lab,ethernet,computer_lab,1.19,4.0,0.05,True
4,normal_load,least_loaded,lms,4,academic_building,eth_academic,ethernet,academic_building,0.797,5.0,0.05,True
5,normal_load,least_loaded,lms,4,computer_lab,eth_admin,ethernet,administration,0.763,5.0,0.05,True
6,normal_load,least_loaded,video,5,administration,eth_server,ethernet,server_room,4.403,3.0,0.03,True
7,normal_load,least_loaded,lms,4,dormitory,wifi_ap_4,wifi,dormitory,1.045,28.0,1.3,True
8,normal_load,least_loaded,file_download,2,academic_building,wifi_ap_3,wifi,student_area,9.035,26.0,1.1,True
9,normal_load,least_loaded,video,5,dormitory,eth_academic,ethernet,academic_building,3.681,5.0,0.05,True
10,normal_load,least_loaded,video,5,student_area,eth_admin,ethernet,administration,3.204,5.0,0.05,True
11,normal_load,least_loaded,lms,4,student_area,eth_lab,ethernet,computer_lab,1.174,4.0,0.05,True
12,normal_load,least_loaded,web,3,academic_building,eth_lab,ethernet,computer_lab,1.672,4.0,0.05,True
13,normal_load,least_loaded,web,3,dormitory,eth_server,ethernet,server_room,1.184,3.0,0.03,True
14,normal_load,least_loaded,lms,4,administration,eth_lab,ethernet,computer_lab,1.059,4.0,0.05,True
15,normal_load,least_loaded,file_download,2,computer_lab,eth_server,ethernet,server_room,6.769,3.0,0.03,True
16,normal_load,least_loaded,video,5,administration,eth_admin,ethernet,administration,3.456,5.0,0.05,True
17,normal_load,least_loaded,lms,4,academic_building,eth_academic,ethernet,academic_building,1.178,5.0,0.05,True
18,normal_load,least_loaded,file_download,2,dormitory,eth_lab,ethernet,computer_lab,7.112,4.0,0.05,True
19,normal_load,least_loaded,web,3,student_area,eth_academic,ethernet,academic_building,1.247,5.0,0.05,True
20,normal_load,least_loaded,lms,4,administration,wifi_ap_4,wifi,dormitory,0.883,28.0,1.3,True
21,normal_load,least_loaded,background_update,1,administration,eth_academic,ethernet,academic_building,2.357,5.0,0.05,True
22,normal_load,least_loaded,web,3,computer_lab,wifi_ap_2,wifi,library,1.672,22.0,0.9,True
23,normal_load,least_loaded,video,5,dormitory,eth_admin,ethernet,administration,3.54,5.0,0.05,True
24,normal_load,least_loaded,background_update,1,administration,wifi_ap_1,wifi,academic_building,3.085,18.0,0.7,True
25,normal_load,least_loaded,web,3,academic_building,eth_academic,ethernet,academic_building,1.297,5.0,0.05,True
26,normal_load,least_loaded,voice,5,student_area,eth_server,ethernet,server_room,0.19,3.0,0.03,True
27,normal_load,least_loaded,video,5,computer_lab,eth_server,ethernet,server_room,4.753,3.0,0.03,True
28,normal_load,least_loaded,lms,4,administration,eth_academic,ethernet,academic_building,1.0,5.0,0.05,True
29,normal_load,least_loaded,file_download,2,administration,wifi_ap_4,wifi,dormitory,7.835,28.0,1.3,True
30,normal_load,least_loaded,lms,4,library,eth_academic,ethernet,academic_building,1.122,5.0,0.05,True
31,normal_load,least_loaded,web,3,administration,eth_lab,ethernet,computer_lab,1.563,4.0,0.05,True
32,normal_load,least_loaded,file_download,2,dormitory,eth_admin,ethernet,administration,7.448,5.0,0.05,True
33,normal_load,least_loaded,background_update,1,library,eth_academic,ethernet,academic_building,3.014,5.0,0.05,True
34,normal_load,least_loaded,video,5,academic_building,eth_server,ethernet,server_room,4.722,3.0,0.03,True
35,normal_load,least_loaded,video,5,library,eth_lab,ethernet,computer_lab,4.584,4.0,0.05,True
36,normal_load,least_loaded,lms,4,academic_building,eth_academic,ethernet,academic_building,0.942,5.0,0.05,True
37,normal_load,least_loaded,web,3,dormitory,eth_server,ethernet,server_room,1.522,3.0,0.03,True
38,normal_load,least_loaded,background_update,1,academic_building,eth_academic,ethernet,academic_building,3.27,5.0,0.05,True
39,normal_load,least_loaded,video,5,computer_lab,eth_lab,ethernet,computer_lab,4.502,4.0,0.05,True
40,normal_load,least_loaded,file_download,2,student_area,eth_server,ethernet,server_room,6.446,3.0,0.03,True
41,normal_load,least_loaded,lms,4,dormitory,wifi_ap_2,wifi,library,0.752,22.0,0.9,True
42,normal_load,least_loaded,web,3,administration,eth_academic,ethernet,academic_building,1.323,5.0,0.05,True
43,normal_load,least_loaded,web,3,library,eth_admin,ethernet,administration,1.506,5.0,0.05,True
44,normal_load,least_loaded,video,5,administration,eth_academic,ethernet,academic_building,3.597,5.0,0.05,True
45,normal_load,least_loaded,web,3,computer_lab,eth_lab,ethernet,computer_lab,1.274,4.0,0.05,True
46,normal_load,least_loaded,lms,4,library,eth_admin,ethernet,administration,1.02,5.0,0.05,True
47,normal_load,least_loaded,file_download,2,computer_lab,eth_server,ethernet,server_room,9.674,3.0,0.03,True
48,normal_load,least_loaded,web,3,dormitory,wifi_ap_2,wifi,library,1.14,22.0,0.9,True
49,normal_load,least_loaded,background_update,1,student_area,eth_lab,ethernet,computer_lab,2.609,4.0,0.05,True
50,normal_load,least_loaded,lms,4,computer_lab,eth_admin,ethernet,administration,1.223,5.0,0.05,True
51,normal_load,least_loaded,video,5,dormitory,wifi_ap_1,wifi,academic_building,4.632,18.0,0.7,True
52,normal_load,least_loaded,background_update,1,computer_lab,eth_academic,ethernet,academic_building,3.399,5.0,0.05,True
53,normal_load,least_loaded,video,5,dormitory,eth_admin,ethernet,administration,4.894,5.0,0.05,True
54,normal_load,least_loaded,video,5,computer_lab,eth_lab,ethernet,computer_lab,4.745,4.0,0.05,True
55,normal_load,least_loaded,lms,4,library,eth_academic,ethernet,academic_building,1.214,5.0,0.05,True
56,normal_load,least_loaded,file_download,2,administration,eth_academic,ethernet,academic_building,6.805,5.0,0.05,True
57,normal_load,least_loaded,lms,4,administration,eth_server,ethernet,server_room,1.075,3.0,0.03,True
58,normal_load,least_loaded,lms,4,computer_lab,eth_lab,ethernet,computer_lab,0.976,4.0,0.05,True
59,normal_load,least_loaded,lms,4,academic_building,wifi_ap_2,wifi,library,0.919,22.0,0.9,True
60,normal_load,least_loaded,web,3,library,eth_admin,ethernet,administration,1.566,5.0,0.05,True
61,normal_load,least_loaded,voice,5,administration,eth_server,ethernet,server_room,0.213,3.0,0.03,True
62,normal_load,least_loaded,lms,4,academic_building,eth_server,ethernet,server_room,1.18,3.0,0.03,True
63,normal_load,least_loaded,video,5,library,eth_lab,ethernet,computer_lab,3.557,4.0,0.05,True
64,normal_load,least_loaded,web,3,computer_lab,eth_server,ethernet,server_room,1.224,3.0,0.03,True
65,normal_load,least_loaded,background_update,1,computer_lab,eth_admin,ethernet,administration,3.114,5.0,0.05,True
66,normal_load,least_loaded,lms,4,dormitory,eth_server,ethernet,server_room,1.154,3.0,0.03,True
67,normal_load,least_loaded,video,5,academic_building,eth_server,ethernet,server_room,4.318,3.0,0.03,True
68,normal_load,least_loaded,lms,4,dormitory,eth_lab,ethernet,computer_lab,0.984,4.0,0.05,True
69,normal_load,least_loaded,web,3,administration,eth_lab,ethernet,computer_lab,1.615,4.0,0.05,True
70,normal_load,least_loaded,web,3,academic_building,eth_admin,ethernet,administration,1.427,5.0,0.05,True
71,normal_load,least_loaded,lms,4,academic_building,wifi_ap_2,wifi,library,0.874,22.0,0.9,True
72,normal_load,least_loaded,video,5,dormitory,eth_academic,ethernet,academic_building,3.28,5.0,0.05,True
73,normal_load,least_loaded,video,5,dormitory,eth_lab,ethernet,computer_lab,3.5,4.0,0.05,True
74,normal_load,least_loaded,background_update,1,dormitory,eth_server,ethernet,server_room,3.462,3.0,0.03,True
75,normal_load,least_loaded,file_download,2,academic_building,eth_admin,ethernet,administration,6.202,5.0,0.05,True
76,normal_load,least_loaded,background_update,1,academic_building,eth_server,ethernet,server_room,3.703,3.0,0.03,True
77,normal_load,least_loaded,background_update,1,library,eth_academic,ethernet,academic_building,2.499,5.0,0.05,True
78,normal_load,least_loaded,web,3,library,eth_lab,ethernet,computer_lab,1.773,4.0,0.05,True
79,normal_load,least_loaded,background_update,1,library,eth_lab,ethernet,computer_lab,2.818,4.0,0.05,True
80,normal_load,least_loaded,background_update,1,student_area,wifi_ap_2,wifi,library,3.64,22.0,0.9,True
6,normal_load,qos_priority,video,5,administration,eth_admin,ethernet,administration,4.403,5.0,0.05,True
9,normal_load,qos_priority,video,5,dormitory,eth_lab,ethernet,computer_lab,3.681,4.0,0.05,True
10,normal_load,qos_priority,video,5,student_area,eth_academic,ethernet,academic_building,3.204,5.0,0.05,True
16,normal_load,qos_priority,video,5,administration,eth_server,ethernet,server_room,3.456,3.0,0.03,True
23,normal_load,qos_priority,video,5,dormitory,eth_server,ethernet,server_room,3.54,3.0,0.03,True
26,normal_load,qos_priority,voice,5,student_area,eth_academic,ethernet,academic_building,0.19,5.0,0.05,True
27,normal_load,qos_priority,video,5,computer_lab,eth_academic,ethernet,academic_building,4.753,5.0,0.05,True
34,normal_load,qos_priority,video,5,academic_building,eth_lab,ethernet,computer_lab,4.722,4.0,0.05,True
35,normal_load,qos_priority,video,5,library,eth_admin,ethernet,administration,4.584,5.0,0.05,True
39,normal_load,qos_priority,video,5,computer_lab,eth_server,ethernet,server_room,4.502,3.0,0.03,True
44,normal_load,qos_priority,video,5,administration,eth_lab,ethernet,computer_lab,3.597,4.0,0.05,True
51,normal_load,qos_priority,video,5,dormitory,eth_academic,ethernet,academic_building,4.632,5.0,0.05,True
53,normal_load,qos_priority,video,5,dormitory,eth_server,ethernet,server_room,4.894,3.0,0.03,True
54,normal_load,qos_priority,video,5,computer_lab,eth_admin,ethernet,administration,4.745,5.0,0.05,True
61,normal_load,qos_priority,voice,5,administration,eth_lab,ethernet,computer_lab,0.213,4.0,0.05,True
63,normal_load,qos_priority,video,5,library,eth_lab,ethernet,computer_lab,3.557,4.0,0.05,True
67,normal_load,qos_priority,video,5,academic_building,eth_server,ethernet,server_room,4.318,3.0,0.03,True
72,normal_load,qos_priority,video,5,dormitory,eth_academic,ethernet,academic_building,3.28,5.0,0.05,True
73,normal_load,qos_priority,video,5,dormitory,eth_lab,ethernet,computer_lab,3.5,4.0,0.05,True
2,normal_load,qos_priority,lms,4,library,eth_admin,ethernet,administration,1.118,5.0,0.05,True
4,normal_load,qos_priority,lms,4,academic_building,eth_server,ethernet,server_room,0.797,3.0,0.03,True
5,normal_load,qos_priority,lms,4,computer_lab,eth_academic,ethernet,academic_building,0.763,5.0,0.05,True
7,normal_load,qos_priority,lms,4,dormitory,eth_server,ethernet,server_room,1.045,3.0,0.03,True
11,normal_load,qos_priority,lms,4,student_area,eth_admin,ethernet,administration,1.174,5.0,0.05,True
14,normal_load,qos_priority,lms,4,administration,eth_academic,ethernet,academic_building,1.059,5.0,0.05,True
17,normal_load,qos_priority,lms,4,academic_building,eth_server,ethernet,server_room,1.178,3.0,0.03,True
20,normal_load,qos_priority,lms,4,administration,eth_server,ethernet,server_room,0.883,3.0,0.03,True
28,normal_load,qos_priority,lms,4,administration,eth_academic,ethernet,academic_building,1.0,5.0,0.05,True
30,normal_load,qos_priority,lms,4,library,eth_admin,ethernet,administration,1.122,5.0,0.05,True
36,normal_load,qos_priority,lms,4,academic_building,eth_lab,ethernet,computer_lab,0.942,4.0,0.05,True
41,normal_load,qos_priority,lms,4,dormitory,eth_server,ethernet,server_room,0.752,3.0,0.03,True
46,normal_load,qos_priority,lms,4,library,eth_academic,ethernet,academic_building,1.02,5.0,0.05,True
50,normal_load,qos_priority,lms,4,computer_lab,eth_server,ethernet,server_room,1.223,3.0,0.03,True
55,normal_load,qos_priority,lms,4,library,eth_lab,ethernet,computer_lab,1.214,4.0,0.05,True
57,normal_load,qos_priority,lms,4,administration,eth_admin,ethernet,administration,1.075,5.0,0.05,True
58,normal_load,qos_priority,lms,4,computer_lab,eth_academic,ethernet,academic_building,0.976,5.0,0.05,True
59,normal_load,qos_priority,lms,4,academic_building,eth_server,ethernet,server_room,0.919,3.0,0.03,True
62,normal_load,qos_priority,lms,4,academic_building,eth_lab,ethernet,computer_lab,1.18,4.0,0.05,True
66,normal_load,qos_priority,lms,4,dormitory,eth_admin,ethernet,administration,1.154,5.0,0.05,True
68,normal_load,qos_priority,lms,4,dormitory,eth_server,ethernet,server_room,0.984,3.0,0.03,True
71,normal_load,qos_priority,lms,4,academic_building,eth_academic,ethernet,academic_building,0.874,5.0,0.05,True
1,normal_load,qos_priority,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.681,18.0,0.7,True
3,normal_load,qos_priority,web,3,computer_lab,wifi_ap_2,wifi,library,1.19,22.0,0.9,True
12,normal_load,qos_priority,web,3,academic_building,wifi_ap_3,wifi,student_area,1.672,26.0,1.1,True
13,normal_load,qos_priority,web,3,dormitory,wifi_ap_4,wifi,dormitory,1.184,28.0,1.3,True
19,normal_load,qos_priority,web,3,student_area,wifi_ap_4,wifi,dormitory,1.247,28.0,1.3,True
22,normal_load,qos_priority,web,3,computer_lab,wifi_ap_2,wifi,library,1.672,22.0,0.9,True
25,normal_load,qos_priority,web,3,academic_building,wifi_ap_1,wifi,academic_building,1.297,18.0,0.7,True
31,normal_load,qos_priority,web,3,administration,wifi_ap_3,wifi,student_area,1.563,26.0,1.1,True
37,normal_load,qos_priority,web,3,dormitory,wifi_ap_4,wifi,dormitory,1.522,28.0,1.3,True
42,normal_load,qos_priority,web,3,administration,wifi_ap_1,wifi,academic_building,1.323,18.0,0.7,True
43,normal_load,qos_priority,web,3,library,wifi_ap_2,wifi,library,1.506,22.0,0.9,True
45,normal_load,qos_priority,web,3,computer_lab,eth_server,ethernet,server_room,1.274,3.0,0.03,True
48,normal_load,qos_priority,web,3,dormitory,eth_lab,ethernet,computer_lab,1.14,4.0,0.05,True
60,normal_load,qos_priority,web,3,library,wifi_ap_1,wifi,academic_building,1.566,18.0,0.7,True
64,normal_load,qos_priority,web,3,computer_lab,eth_academic,ethernet,academic_building,1.224,5.0,0.05,True
69,normal_load,qos_priority,web,3,administration,eth_admin,ethernet,administration,1.615,5.0,0.05,True
70,normal_load,qos_priority,web,3,academic_building,wifi_ap_4,wifi,dormitory,1.427,28.0,1.3,True
78,normal_load,qos_priority,web,3,library,eth_server,ethernet,server_room,1.773,3.0,0.03,True
8,normal_load,qos_priority,file_download,2,academic_building,eth_lab,ethernet,computer_lab,9.035,4.0,0.05,True
15,normal_load,qos_priority,file_download,2,computer_lab,eth_academic,ethernet,academic_building,6.769,5.0,0.05,True
18,normal_load,qos_priority,file_download,2,dormitory,eth_admin,ethernet,administration,7.112,5.0,0.05,True
29,normal_load,qos_priority,file_download,2,administration,eth_server,ethernet,server_room,7.835,3.0,0.03,True
32,normal_load,qos_priority,file_download,2,dormitory,wifi_ap_3,wifi,student_area,7.448,26.0,1.1,True
40,normal_load,qos_priority,file_download,2,student_area,wifi_ap_2,wifi,library,6.446,22.0,0.9,True
47,normal_load,qos_priority,file_download,2,computer_lab,wifi_ap_1,wifi,academic_building,9.674,18.0,0.7,True
56,normal_load,qos_priority,file_download,2,administration,eth_server,ethernet,server_room,6.805,3.0,0.03,True
75,normal_load,qos_priority,file_download,2,academic_building,eth_academic,ethernet,academic_building,6.202,5.0,0.05,True
21,normal_load,qos_priority,background_update,1,administration,wifi_ap_4,wifi,dormitory,2.357,28.0,1.3,True
24,normal_load,qos_priority,background_update,1,administration,eth_lab,ethernet,computer_lab,3.085,4.0,0.05,True
33,normal_load,qos_priority,background_update,1,library,eth_admin,ethernet,administration,3.014,5.0,0.05,True
38,normal_load,qos_priority,background_update,1,academic_building,eth_lab,ethernet,computer_lab,3.27,4.0,0.05,True
49,normal_load,qos_priority,background_update,1,student_area,eth_server,ethernet,server_room,2.609,3.0,0.03,True
52,normal_load,qos_priority,background_update,1,computer_lab,eth_admin,ethernet,administration,3.399,5.0,0.05,True
65,normal_load,qos_priority,background_update,1,computer_lab,eth_academic,ethernet,academic_building,3.114,5.0,0.05,True
74,normal_load,qos_priority,background_update,1,dormitory,eth_server,ethernet,server_room,3.462,3.0,0.03,True
76,normal_load,qos_priority,background_update,1,academic_building,eth_lab,ethernet,computer_lab,3.703,4.0,0.05,True
77,normal_load,qos_priority,background_update,1,library,eth_admin,ethernet,administration,2.499,5.0,0.05,True
79,normal_load,qos_priority,background_update,1,library,eth_academic,ethernet,academic_building,2.818,5.0,0.05,True
80,normal_load,qos_priority,background_update,1,student_area,eth_server,ethernet,server_room,3.64,3.0,0.03,True
6,normal_load,intelligent,video,5,administration,eth_server,ethernet,server_room,4.403,3.0,0.03,True
9,normal_load,intelligent,video,5,dormitory,eth_lab,ethernet,computer_lab,3.681,4.0,0.05,True
10,normal_load,intelligent,video,5,student_area,eth_server,ethernet,server_room,3.204,3.0,0.03,True
16,normal_load,intelligent,video,5,administration,eth_admin,ethernet,administration,3.456,5.0,0.05,True
23,normal_load,intelligent,video,5,dormitory,eth_academic,ethernet,academic_building,3.54,5.0,0.05,True
26,normal_load,intelligent,voice,5,student_area,eth_server,ethernet,server_room,0.19,3.0,0.03,True
27,normal_load,intelligent,video,5,computer_lab,eth_server,ethernet,server_room,4.753,3.0,0.03,True
34,normal_load,intelligent,video,5,academic_building,eth_lab,ethernet,computer_lab,4.722,4.0,0.05,True
35,normal_load,intelligent,video,5,library,eth_academic,ethernet,academic_building,4.584,5.0,0.05,True
39,normal_load,intelligent,video,5,computer_lab,eth_admin,ethernet,administration,4.502,5.0,0.05,True
44,normal_load,intelligent,video,5,administration,eth_server,ethernet,server_room,3.597,3.0,0.03,True
51,normal_load,intelligent,video,5,dormitory,eth_lab,ethernet,computer_lab,4.632,4.0,0.05,True
53,normal_load,intelligent,video,5,dormitory,eth_server,ethernet,server_room,4.894,3.0,0.03,True
54,normal_load,intelligent,video,5,computer_lab,eth_academic,ethernet,academic_building,4.745,5.0,0.05,True
61,normal_load,intelligent,voice,5,administration,eth_server,ethernet,server_room,0.213,3.0,0.03,True
63,normal_load,intelligent,video,5,library,eth_admin,ethernet,administration,3.557,5.0,0.05,True
67,normal_load,intelligent,video,5,academic_building,eth_lab,ethernet,computer_lab,4.318,4.0,0.05,True
72,normal_load,intelligent,video,5,dormitory,eth_server,ethernet,server_room,3.28,3.0,0.03,True
73,normal_load,intelligent,video,5,dormitory,eth_academic,ethernet,academic_building,3.5,5.0,0.05,True
2,normal_load,intelligent,lms,4,library,eth_admin,ethernet,administration,1.118,5.0,0.05,True
4,normal_load,intelligent,lms,4,academic_building,eth_admin,ethernet,administration,0.797,5.0,0.05,True
5,normal_load,intelligent,lms,4,computer_lab,eth_admin,ethernet,administration,0.763,5.0,0.05,True
7,normal_load,intelligent,lms,4,dormitory,eth_server,ethernet,server_room,1.045,3.0,0.03,True
11,normal_load,intelligent,lms,4,student_area,eth_lab,ethernet,computer_lab,1.174,4.0,0.05,True
14,normal_load,intelligent,lms,4,administration,eth_admin,ethernet,administration,1.059,5.0,0.05,True
17,normal_load,intelligent,lms,4,academic_building,eth_server,ethernet,server_room,1.178,3.0,0.03,True
20,normal_load,intelligent,lms,4,administration,eth_academic,ethernet,academic_building,0.883,5.0,0.05,True
28,normal_load,intelligent,lms,4,administration,eth_lab,ethernet,computer_lab,1.0,4.0,0.05,True
30,normal_load,intelligent,lms,4,library,eth_server,ethernet,server_room,1.122,3.0,0.03,True
36,normal_load,intelligent,lms,4,academic_building,eth_admin,ethernet,administration,0.942,5.0,0.05,True
